text,label,lang,category,template_id,source
"Main Army officer hoon, aapka OLX saman chahiye. Rs 999 QR se bhej raha hoon, receive karne ke liye scan karke approve karein: http://icici-netbanking.online/auth",1,hi_rom,marketplace_qr_scam,84,synthetic_seed_v1
I am an Army officer interested in your OLX item. I will send Rs 750 via this QR — just scan and approve to receive the money: http://bit.ly/win-cash,1,en,marketplace_qr_scam,83,synthetic_seed_v1
"मैं आर्मी अफसर हूं, आपका OLX सामान चाहिए। रु 999 QR से भेज रहा हूं, पाने के लिए स्कैन करके अप्रूव करें: http://sbi-verify.xyz/login",1,hi_dev,marketplace_qr_scam,85,synthetic_seed_v1
"आपको Rahul से UPI के माध्यम से रु 50,000 प्राप्त हुए हैं। -SBI",0,hi_dev,upi_legit,89,synthetic_seed_v1
"मैं आर्मी अफसर हूं, आपका OLX सामान चाहिए। रु 499 QR से भेज रहा हूं, पाने के लिए स्कैन करके अप्रूव करें: http://sbi-verify.xyz/login",1,hi_dev,marketplace_qr_scam,85,synthetic_seed_v1
"Yaad dilaye: aapka Rs 9,999 ka bijli bill 5 tarikh ko due hai. Official app se bharein https://netbanking.hdfcbank.com",0,hi_rom,bill_legit,43,synthetic_seed_v1
"To RECEIVE your refund of Rs 1,250, approve the UPI request and enter your UPI PIN now: http://icici-netbanking.online/auth",1,en,upi_collect_scam,63,synthetic_seed_v1
Aapka order delivery ke liye nikal gaya hai. Delivery agent ko OTP 338190 dein. Track: https://onlinesbi.sbi,0,hi_rom,ecommerce_legit,91,synthetic_seed_v1
Kotak सपोर्ट से। आपका लेनदेन विफल हुआ है। इसे वापस करने के लिए OTP 650017 बताएं या http://paytm-kyc.link/verify से ऐप इंस्टॉल करें। कॉल 08041234567।,1,hi_dev,fake_customer_care,69,synthetic_seed_v1
"Arjun, कल सुबह 10 बजे मीटिंग है, समय पर आ जाना।",0,hi_dev,everyday_legit,105,synthetic_seed_v1
"प्रिय उपभोक्ता, बिल अपडेट न होने के कारण आज रात आपकी बिजली काट दी जाएगी। तुरंत 18001234 पर संपर्क करें https://secure-bank-login.xyz",1,hi_dev,electricity,23,synthetic_seed_v1
482913 आपके Paytm लॉगिन के लिए OTP है। इसे किसी के साथ साझा न करें। -Paytm,0,hi_dev,otp_legit,34,synthetic_seed_v1
घर बैठे रोज रु 750 कमाएं! सीटें सीमित हैं। छोटी सी फीस देकर अभी रजिस्टर करें: http://sbi-verify.xyz/login,1,hi_dev,job_scam,26,synthetic_seed_v1
Your electricity connection will be disconnected tonight as your KYC is pending. Update now or call 08041234567: https://secure-bank-login.xyz,1,en,utility_kyc,79,synthetic_seed_v1
"Yaad dilaye: aapka Rs 1,00,000 ka bijli bill 5 tarikh ko due hai. Official app se bharein https://onlinesbi.sbi",0,hi_rom,bill_legit,43,synthetic_seed_v1
"Kotak Sale is live! Flat 1,00,000 off on your next purchase. Shop now at https://netbanking.hdfcbank.com",0,en,promo,36,synthetic_seed_v1
வாழ்த்துக்கள்! ஆவணம் இல்லாமல் ரூ 750 கடன் முன்அனுமதி பெற்றது. QuickRupee பதிவிறக்கம் செய்து உடனே பணம் பெறுங்கள்: http://icici-netbanking.online/auth,1,ta,instant_loan_app,58,synthetic_seed_v1
